check_in,avg_price
2024-02-25,91.0
2024-02-26,102.65384615384616
2024-02-27,110.48148148148148
2024-02-28,110.37037037037037
2024-02-29,108.77777777777777
2024-03-01,131.11111111111111
2024-03-02,125.03846153846153
2024-03-03,110.11111111111111
2024-03-04,141.07407407407408
2024-03-05,111.57692307692308
2024-03-06,132.77777777777777
2024-03-07,137.76923076923077
2024-03-08,96.96153846153847
2024-03-09,158.48
2024-03-10,152.07407407407408
2024-03-11,181.5
2024-03-12,180.55555555555554
2024-03-13,132.74074074074073
2024-03-14,173.57692307692307
2024-03-15,183.74074074074073
2024-03-16,190.2962962962963
2024-03-17,92.55555555555556
2024-03-18,91.29629629629629
2024-03-19,152.77777777777777
2024-03-20,146.14814814814815
2024-03-21,147.25925925925927
2024-03-22,157.59259259259258
2024-03-23,150.4814814814815
2024-03-24,116.70370370370371
2024-03-25,124.77777777777777
2024-03-26,136.55555555555554
2024-03-27,137.7037037037037
2024-03-28,137.62962962962962
2024-03-29,143.25925925925927
2024-03-30,160.1153846153846
2024-03-31,129.8148148148148
2024-04-01,135.96296296296296
2024-04-02,148.85185185185185
2024-04-03,168.14814814814815
2024-04-04,164.14814814814815
2024-04-05,218.07407407407408
2024-04-06,99.5925925925926
2024-04-07,276.46153846153845
2024-04-08,305.4074074074074
2024-04-09,165.0
2024-04-10,160.44444444444446
2024-04-11,139.1153846153846
2024-04-12,165.65384615384616
2024-04-13,168.5185185185185
2024-04-14,147.4814814814815
2024-04-15,143.55555555555554
2024-04-16,133.92592592592592
2024-04-17,156.40740740740742
2024-04-18,154.4814814814815
2024-04-19,182.2962962962963
2024-04-20,103.33333333333333
2024-04-21,148.25925925925927
2024-04-22,144.85185185185185
2024-04-23,146.03703703703704
2024-04-24,140.85185185185185
2024-04-25,135.88888888888889
2024-04-26,89.5925925925926
2024-04-27,169.2962962962963
2024-04-28,76.03703703703704
2024-04-29,139.5185185185185
2024-04-30,157.1851851851852
2024-05-01,149.5185185185185
2024-05-02,124.29629629629629
2024-05-03,137.5185185185185
2024-05-04,157.96296296296296
2024-05-05,110.33333333333333
2024-05-06,106.62962962962963
2024-05-07,141.5185185185185
2024-05-08,129.7037037037037
2024-05-09,128.14814814814815
2024-05-10,155.25925925925927
2024-05-11,148.11111111111111
2024-05-12,130.1851851851852
2024-05-13,133.96296296296296
2024-05-14,128.8846153846154
2024-05-15,134.7037037037037
2024-05-16,129.6
2024-05-17,142.77777777777777
2024-05-18,155.14814814814815
2024-05-19,124.44444444444444
2024-05-20,133.25925925925927
2024-05-21,138.11111111111111
2024-05-22,133.66666666666666
2024-05-23,128.5
2024-05-24,153.1851851851852
2024-05-25,160.1851851851852
2024-05-26,137.33333333333334
2024-05-27,122.4074074074074
2024-05-28,116.48148148148148
2024-05-29,123.73076923076923
2024-05-30,114.42307692307692
2024-05-31,135.85185185185185
2024-06-01,147.73076923076923
2024-06-02,108.66666666666667
2024-06-03,114.18518518518519
2024-06-04,110.70370370370371
2024-06-05,114.07407407407408
2024-06-06,122.51851851851852
2024-06-07,139.07407407407408
2024-06-08,142.55555555555554
2024-06-09,100.85185185185185
2024-06-10,100.14814814814815
2024-06-11,73.5
2024-06-12,104.44444444444444
2024-06-13,114.55555555555556
2024-06-14,133.33333333333334
2024-06-15,151.07407407407408
2024-06-16,112.77777777777777
2024-06-17,119.74074074074075
2024-06-18,75.77777777777777
2024-06-19,118.81481481481481
2024-06-20,119.70370370370371
2024-06-21,148.11111111111111
2024-06-22,147.0
2024-06-23,104.92592592592592
2024-06-24,79.37037037037037
2024-06-25,104.25925925925925
2024-06-26,111.48148148148148
2024-06-27,115.29629629629629
2024-06-28,87.44444444444444
2024-06-29,135.44444444444446
2024-06-30,73.92592592592592
2024-07-01,119.81481481481481
2024-07-02,120.4074074074074
2024-07-03,116.70370370370371
2024-07-04,80.66666666666667
2024-07-05,137.66666666666666
2024-07-06,142.8148148148148
2024-07-07,79.33333333333333
2024-07-08,115.18518518518519
2024-07-09,118.4074074074074
2024-07-10,121.4074074074074
2024-07-11,115.48148148148148
2024-07-12,145.11111111111111
2024-07-13,155.33333333333334
2024-07-14,107.44444444444444
2024-07-15,121.70370370370371
2024-07-16,90.14814814814815
2024-07-17,116.5925925925926
2024-07-18,125.88888888888889
2024-07-19,152.11111111111111
2024-07-20,164.33333333333334
2024-07-21,117.51851851851852
2024-07-22,115.66666666666667
2024-07-23,118.11538461538461
2024-07-24,117.74074074074075
2024-07-25,120.5925925925926
2024-07-26,157.88888888888889
2024-07-27,101.10714285714286
2024-07-28,107.33333333333333
2024-07-29,85.92307692307692
2024-07-30,115.07407407407408
2024-07-31,118.44444444444444
2024-08-01,106.96296296296296
2024-08-02,124.77777777777777
2024-08-03,128.44444444444446
2024-08-04,71.3076923076923
2024-08-05,103.11111111111111
2024-08-06,99.81481481481481
2024-08-07,108.96296296296296
2024-08-08,108.74074074074075
2024-08-09,125.48148148148148
2024-08-10,133.03703703703704
2024-08-11,108.88888888888889
2024-08-12,110.70370370370371
2024-08-13,115.81481481481481
2024-08-14,109.74074074074075
2024-08-15,107.68
2024-08-16,128.96296296296296
2024-08-17,130.5185185185185
2024-08-18,109.07407407407408
2024-08-19,108.74074074074075
2024-08-20,102.77777777777777
2024-08-21,106.70370370370371
2024-08-22,82.85185185185185
2024-08-23,125.33333333333333
2024-08-24,129.77777777777777
2024-08-25,73.11111111111111
2024-08-26,103.4074074074074
2024-08-27,108.03703703703704
2024-08-28,107.14814814814815
2024-08-29,107.0
2024-08-30,131.07407407407408
