Date,Price,Route
26-12-2023 05:00,121,SAT
27-12-2023 05:00,121,SAT
28-12-2023 05:00,121,SAT
29-12-2023 05:00,93,SAT
30-12-2023 05:00,93,SAT
31-12-2023 05:00,93,SAT
01-01-2024 05:00,93,SAT
02-01-2024 05:00,90,SAT
03-01-2024 05:00,91,SAT
04-01-2024 05:00,70,SAT
05-01-2024 05:00,70,SAT
06-01-2024 05:00,70,SAT
07-01-2024 05:00,95,SAT
08-01-2024 05:00,95,SAT
09-01-2024 05:00,95,SAT
10-01-2024 05:00,95,SAT
11-01-2024 05:00,95,SAT
12-01-2024 05:00,91,SAT
13-01-2024 05:00,95,SAT
14-01-2024 05:00,99,SAT
15-01-2024 05:00,99,SAT
16-01-2024 05:00,99,SAT
17-01-2024 05:00,90,SAT
18-01-2024 05:00,90,SAT
19-01-2024 05:00,90,SAT
20-01-2024 05:00,90,SAT
21-01-2024 05:00,90,SAT
22-01-2024 05:00,90,SAT
23-01-2024 05:00,90,SAT
24-01-2024 05:00,90,SAT
25-01-2024 05:00,90,SAT
26-01-2024 05:00,90,SAT
27-01-2024 05:00,99,SAT
28-01-2024 05:00,99,SAT
29-01-2024 05:00,99,SAT
30-01-2024 05:00,99,SAT
31-01-2024 05:00,100,SAT
01-02-2024 05:00,86,SAT
02-02-2024 05:00,86,SAT
03-02-2024 05:00,95,SAT
04-02-2024 05:00,95,SAT
05-02-2024 05:00,95,SAT
06-02-2024 05:00,95,SAT
07-02-2024 05:00,95,SAT
08-02-2024 05:00,95,SAT
09-02-2024 05:00,105,SAT
10-02-2024 05:00,105,SAT
11-02-2024 05:00,105,SAT
12-02-2024 05:00,105,SAT
13-02-2024 05:00,101,SAT
14-02-2024 05:00,101,SAT
15-02-2024 05:00,101,SAT
16-02-2024 05:00,112,SAT
17-02-2024 05:00,126,SAT
18-02-2024 05:00,126,SAT
19-02-2024 05:00,126,SAT
20-02-2024 05:00,126,SAT
21-02-2024 05:00,126,SAT
22-02-2024 05:00,126,SAT
23-02-2024 05:00,130,SAT
24-02-2024 05:00,135,SAT
