Day,National Holiday,San Antonio Events,Six Flags Events,Date
Tuesday,,,,04-06-2024
Wednesday,,,,05-06-2024
Thursday,,,,06-06-2024
Friday,,,Roller Coaster Rodeo,07-06-2024
Saturday,,,Roller Coaster Rodeo,08-06-2024
Sunday,,,Roller Coaster Rodeo,09-06-2024
Monday,,,,10-06-2024
Tuesday,,,,11-06-2024
Wednesday,,,,12-06-2024
Thursday,,,,13-06-2024
Friday,,,,14-06-2024
Saturday,,,,15-06-2024
Sunday,Father's Day,,,16-06-2024
Monday,,,,17-06-2024
Tuesday,,,,18-06-2024
Wednesday,Juneteenth,,,19-06-2024
Thursday,,,,20-06-2024
Friday,,,,21-06-2024
Saturday,,,,22-06-2024
Sunday,,,,23-06-2024
Monday,,,,24-06-2024
Tuesday,,,,25-06-2024
Wednesday,,,,26-06-2024
Thursday,,,,27-06-2024
Friday,,,,28-06-2024
Saturday,,,,29-06-2024
Sunday,,,,30-06-2024
Monday,,,,01-07-2024
Tuesday,,,,02-07-2024
Wednesday,,,,03-07-2024
Thursday,Independence Day,,4th of July Celebration,04-07-2024
Friday,,,4th of July Celebration,05-07-2024
Saturday,,,4th of July Celebration,06-07-2024
Sunday,,,4th of July Celebration,07-07-2024
Monday,,,,08-07-2024
Tuesday,,,,09-07-2024
Wednesday,,,,10-07-2024
Thursday,,,,11-07-2024
Friday,,,,12-07-2024
Saturday,,,,13-07-2024
Sunday,,,,14-07-2024
Monday,,,,15-07-2024
Tuesday,,,,16-07-2024
Wednesday,,,,17-07-2024
Thursday,,,,18-07-2024
Friday,,,,19-07-2024
Saturday,,,,20-07-2024
Sunday,,,,21-07-2024
Monday,,,,22-07-2024
Tuesday,,,,23-07-2024
Wednesday,,,,24-07-2024
Thursday,,,,25-07-2024
Friday,,,,26-07-2024
Saturday,,,,27-07-2024
Sunday,,,,28-07-2024
Monday,,,,29-07-2024
Tuesday,,,,30-07-2024
Wednesday,,,,31-07-2024
Thursday,,,,01-08-2024
Friday,,,,02-08-2024
Saturday,,,,03-08-2024
Sunday,,,,04-08-2024
Monday,,,,05-08-2024
Tuesday,,,,06-08-2024
Wednesday,,,,07-08-2024
Thursday,,,,08-08-2024
Friday,,,,09-08-2024
Saturday,,,,10-08-2024
Sunday,,,,11-08-2024
Monday,,,,12-08-2024
Tuesday,,,,13-08-2024
Wednesday,,,,14-08-2024
Thursday,,,,15-08-2024
Friday,,,,16-08-2024
Saturday,,,,17-08-2024
Sunday,,,,18-08-2024
Monday,,,,19-08-2024
Tuesday,,,,20-08-2024
Wednesday,,,,21-08-2024
Thursday,,,,22-08-2024
Friday,,,,23-08-2024
Saturday,,,,24-08-2024
Sunday,,,,25-08-2024
Monday,,,,26-08-2024
Tuesday,,,,27-08-2024
Wednesday,,,,28-08-2024
Thursday,,,,29-08-2024
Friday,,,,30-08-2024
Saturday,,,,31-08-2024
